field,score
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_type_1,928
eth_eth.src_tree_eth.src.oui_0,927
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.type_4,926
tcp_tcp.checksum.status_0,925
ip_ip.proto_4,924
ip_ip.dsfield_4,923
tcp_tcp.flags_tree_tcp.flags.ack_4,922
tcp_tcp.seq_4,921
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_1,920
eth_eth.dst_tree_eth.addr.oui_0,919
tls_tls.record_tls.handshake_tls.handshake.session_id_4,918
tls_tls.record_tls.handshake_tls.handshake.comp_methods_tls.handshake.comp_method_4,917
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extension.type_4,916
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extensions_ec_point_formats_tls.handshake.extensions_ec_point_format_1,915
tcp_tcp.nxtseq_2,914
tls_tls.record_tls.handshake_tls.handshake.ja3_4,913
eth_eth.dst_tree_eth.addr.oui_resolved_4,912
tcp_tcp.flags_tree_tcp.flags.str_2,911
eth_eth.dst_tree_eth.ig_4,910
eth_eth.src_tree_eth.src.ig_0,909
tls_tls.record_tls.record.content_type_2,908
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_3,907
ip_ip.hdr_len_3,906
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_1,905
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_1,904
tcp_tcp.flags_tree_tcp.flags.res_0,903
frame_frame.time_relative_3,902
tcp_tcp.hdr_len_3,901
tcp_tcp.completeness_2,900
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_type_1,899
tls_tls.record_tls.handshake_Extension: application_layer_protocol_negotiation (len=14)_tls.handshake.extension.type_2,898
tcp_tcp.flags_tree_tcp.flags.urg_4,897
tls_tls.record_tls.handshake_Extension: server_name (len=24)_tls.handshake.extension.len_4,896
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_1,895
tcp_tcp.flags_tree_tcp.flags.push_1,894
eth_eth.src_tree_eth.src.lg_1,893
tls_tls.record_tls.handshake_Extension: server_name (len=30)_tls.handshake.extension.type_2,892
ip_ip.frag_offset_0,891
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_alg_len_4,890
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_exts_len_4,889
ip_ip.ttl_1,888
tls_tls.record_tls.handshake_Extension: server_name (len=26)_tls.handshake.extension.len_1,887
tls_tls.record_tls.handshake_Extension: server_name (len=20)_tls.handshake.extension.len_3,886
tcp_tcp.flags_3,885
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.extension.len_4,884
eth_eth.src_tree_eth.addr.oui_4,883
tcp_tcp.window_size_4,882
tcp_tcp.checksum.status_1,881
tcp_tcp.len_0,880
ip_ip.version_1,879
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extensions.supported_version_1,878
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_type_2,877
ip_ip.flags_tree_ip.flags.df_4,876
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.extension.type_1,875
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extension.len_1,874
ip_ip.flags_tree_ip.flags.rb_0,873
eth_eth.dst_tree_eth.lg_4,872
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_Renegotiation Info extension_tls.handshake.extensions_reneg_info_len_4,871
ip_ip.checksum.status_4,870
http_http.request_number_0,869
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extension.type_4,868
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_len_3,867
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extensions_ec_point_formats_length_4,866
ip_ip.id_0,865
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extension.type_1,864
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extension.len_4,863
tcp_tcp.flags_tree_tcp.flags.ece_1,862
tcp_tcp.flags_0,861
eth_eth.dst_tree_eth.dst.lg_4,860
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_len_1,859
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_3,858
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_len_2,857
tcp_tcp.window_size_value_2,856
tcp_tcp.ack_raw_4,855
frame_frame.cap_len_4,854
frame_frame.protocols_1,853
tls_tls.record_tls.handshake_Extension: server_name (len=25)_Server Name Indication extension_tls.handshake.extensions_server_name_len_1,852
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_len_3,851
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extension.len_3,850
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_hash_1,849
tcp_tcp.flags_tree_tcp.flags.urg_0,848
ip_ip.flags_3,847
eth_eth.src_tree_eth.ig_3,846
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_3,845
ip_ip.len_0,844
tls_tls.record_tls.handshake_Extension: server_name (len=25)_tls.handshake.extension.len_1,843
tcp_tcp.seq_0,842
tls_tls.record_tls.handshake_Extension: server_name (len=16)_tls.handshake.extension.len_3,841
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.len_3,840
tcp_tcp.ack_0,839
ip_ip.dsfield_tree_ip.dsfield.ecn_1,838
eth_eth.src_tree_eth.src.oui_3,837
tcp_tcp.ack_1,836
eth_eth.src_tree_eth.ig_1,835
tcp_tcp.nxtseq_3,834
